Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Spinach soup (Palak ka soup),10274,Others,Soups,32.59,3.03,10.54,14.26,1.98,70.19,56.23,98.1,50.72,12088.21,415.55,2.68,0.08,0.65,0.45,0.42,19.05,0.3,0,65.12,30.02,0.04,0.02,0.13,0.06,0.04,30.02,6.16,Indian Nutrient Databank (INDB)
Mixed vegetable soup,10275,Others,Soups,35.71,2.95,8.22,11.66,1.64,75.53,50.69,89.51,30.09,9202.27,295.84,1.74,0.06,0.37,0.21,0.33,17.39,0.1,0,4.74,7.17,0.02,0.02,0.14,0.13,0.03,7.17,4.55,Indian Nutrient Databank (INDB)
Cheese soup,10276,Others,Soups,41.13,1.87,12.39,17.07,1.8,66.87,83.65,153.98,39.83,13695.35,350.94,2.4,0.05,0.43,0.25,0.55,35.44,0.08,0,2.61,4.56,0.01,0.02,0.04,0.08,0.02,4.56,1.19,Indian Nutrient Databank (INDB)
Mulligatawny soup,10277,Others,Soups,54.42,8.24,11.26,13.28,2.6,64.62,43.89,113.18,39.75,11602.5,363.74,2.65,0.12,3.02,0.34,0.59,13.73,0.07,0,4.02,7.99,0.04,0.02,0.27,0.14,0.04,7.99,2.4,Indian Nutrient Databank (INDB)
Almond soup (Badam ka soup),10278,Others,Soups,78.65,3.68,10.13,13.8,0.91,71.48,114.95,164.86,38.93,8376.94,282.29,2.83,0.11,1.63,0.25,0.9,37.48,1,0.07,2.47,8.11,0.02,0.06,0.19,0.23,0.03,8.11,1.61,Indian Nutrient Databank (INDB)
Veg paneer stew,10279,Others,Curries (Gravy & Dry),145.55,10.22,6.98,8.41,3.08,71.31,160.51,122.33,33.52,73.15,272.77,1.37,0.14,7.23,0.87,1.1,0,2.25,0,17.95,43.37,0.08,0.07,0.65,0.36,0.13,43.37,13.68,Indian Nutrient Databank (INDB)
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),10280,Others,Mains,191.27,26.37,4.37,7.27,5.16,56.83,24.91,124.85,53.42,241.19,190.31,1.81,0.22,18.66,1.17,1.15,0,3.34,0,5.75,21.16,0.17,0.06,1,0.42,0.13,21.16,3.99,Indian Nutrient Databank (INDB)
Methi parantha/paratha,10281,Others,Mains,148.36,22.19,4.27,4.34,5.09,64.11,65.85,112.69,54.87,48.36,193.92,2.42,0.21,15.87,1.17,1.04,0,1.96,0,80.9,31.2,0.16,0.09,0.94,0.44,0.18,31.2,13.85,Indian Nutrient Databank (INDB)
Bathua poori,10282,Others,Mains,598.79,13.85,2.35,59.14,1.87,22.79,30.83,46.16,21.24,49.71,98.54,0.96,0.08,5.37,0.55,0.48,2.25,28.96,0,31.33,9.65,0.06,0.08,0.37,0.21,0.05,9.65,5.02,Indian Nutrient Databank (INDB)
Gram flour poori (Besan poori),10283,Others,Mains,697.66,10.93,2.59,71.51,1.94,13.03,7.09,50.15,18.52,58.33,54.35,0.71,0.08,6.5,0.45,0.42,2.72,35.04,0,5.16,14.83,0.08,0.03,0.39,0.18,0.06,14.83,0,Indian Nutrient Databank (INDB)
