Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Cauliflower potato canjee,10473,Beverages,Beverages,16.79,2.63,0.57,0.39,0.69,95.72,6.78,16.29,7.81,35.58,117.27,0.28,0.02,0.72,0.07,0.1,0,0.02,0,1.57,6.81,0.02,0.01,0.22,0.11,0.03,6.81,7.35,Indian Nutrient Databank (INDB)
Woodapple juice (Bel ka sharbat),10474,Beverages,Beverages,34.18,6.51,0.63,0.7,1.03,91.13,11.85,16.69,5.23,127.45,71.86,0.12,0.04,0.48,0.06,0.07,0,0.02,0,1.62,1.61,0.01,0,0.11,0.05,0.04,1.61,5.23,Indian Nutrient Databank (INDB)
Sattu drink,10475,Beverages,Beverages,23.38,5.16,0.56,0.14,0.4,93.74,1.59,8.56,3.17,12.65,25.27,0.17,0.03,1.34,0.04,0.1,0,0,0,0.04,4.77,0.01,0,0.05,0.04,0,4.77,0,Indian Nutrient Databank (INDB)
Apple and honey sorbet (Seb aur shehad ka sharbat),10476,Others,Desserts,121.3,30.74,0.15,0.29,1.13,67.69,9.11,5.41,4.29,1.97,56.42,0.18,0.05,0.26,0.02,0.08,0,0.07,0,1.59,1.65,0.01,0.01,0.12,0.04,0.02,1.65,3.13,Indian Nutrient Databank (INDB)
Thandai,10477,Beverages,Beverages,101.18,9.13,3.59,5.89,0.8,80.59,112.31,98.38,25.58,22.69,140.99,0.6,0.12,1.06,0.37,0.48,0,0.76,0,1.37,7.18,0.05,0.09,0.23,0.28,0.04,7.18,1.44,Indian Nutrient Databank (INDB)
Cucumber sharbat (Kheere ka sharbat),10478,Beverages,Beverages,27.28,6.64,0.26,0.06,0.78,92.26,6.49,10.39,7.54,2.57,67.04,0.18,0.02,0.06,0.03,0.07,0,0.01,0,2.99,6.15,0.01,0,0.13,0.16,0.02,6.15,2.23,Indian Nutrient Databank (INDB)
Apple oats chia seed smoothie,10479,Beverages,Beverages,85.64,13.07,3.49,2.48,1.44,79.52,88.89,111.2,23.55,32.02,169.25,0.5,0.05,1.43,0.38,0.57,10.91,0.1,0,0.56,11.36,0.14,0.11,0.22,0.28,0.08,11.36,0.86,Indian Nutrient Databank (INDB)
Nannari sharbat,10480,Beverages,Beverages,88.79,23.62,0.01,0.01,0,76.36,2.67,0.45,0.61,1.16,3.35,0.05,0.03,0.01,0,0.02,0,0,0,0.02,0.21,0,0,0,0,0,0.21,0.89,Indian Nutrient Databank (INDB)
Semolina milk drink (Thari kanji),10481,Beverages,Beverages,44.16,6.93,0.98,1.36,0.72,90.01,8.26,23.98,11.57,11.95,84.57,0.36,0.09,0.74,0.16,0.25,3.5,0.1,0,0.33,4.5,0.03,0.02,0.16,0.09,0.04,4.5,2.5,Indian Nutrient Databank (INDB)
Saffron milk (Kesariya doodh),10482,Beverages,Beverages,102.18,12.64,3.17,4.57,0.14,79.48,110.88,92.72,10.54,23.69,114.64,0.21,0.05,0.94,0.08,0.34,0,0.46,0,0.12,6.84,0.03,0.1,0.1,0.32,0.04,6.84,1.84,Indian Nutrient Databank (INDB)
Black rice kheer (Chak-hao kheer),10483,Others,Desserts,147.94,22.93,4.37,4.91,0.76,67.03,94.89,74.58,6.8,25.77,104.34,0.46,0.03,0.74,0.04,0.27,0,0.17,0,0.01,5.42,0.02,0.08,0.06,0.26,0.03,5.42,1.55,Indian Nutrient Databank (INDB)
Coconut kheer (Nariyal ki kheer),10484,Others,Desserts,162.61,14.42,3.4,10.55,1.53,70.1,89.52,83.39,23.26,45.97,188.16,0.53,0.1,0.7,0.18,0.38,12.11,1.15,0,2.39,7.59,0.03,0.1,0.2,0.25,0.04,7.59,1.88,Indian Nutrient Databank (INDB)
Apple sago payasam (Seb aur sabudana ki kheer),10485,Others,Desserts,136.5,14.4,3.13,7.66,0.38,74.43,102.11,93.9,16.81,39.45,129.65,0.31,0.07,1.14,0.12,0.42,40.82,0.61,0,0.38,6.48,0.04,0.12,0.15,0.32,0.04,6.48,1.78,Indian Nutrient Databank (INDB)
Kesari bath,10486,Others,Desserts,244.57,31.38,2.4,12.59,1.65,51.98,7.7,34.68,16.01,1.7,65.68,0.69,0.17,2.13,0.37,0.52,104.34,0.73,0,0.25,4.84,0.06,0.01,0.21,0.16,0.02,4.84,0,Indian Nutrient Databank (INDB)
Putharekulu,10487,Others,Desserts,318.3,59.61,3.66,7.55,1.75,27.43,6.11,65.64,12.93,2.67,67.48,0.38,0.15,0.56,0.37,0.53,68.93,0.47,0,0.7,4.56,0.08,0.03,1.17,0.26,0.1,4.56,0,Indian Nutrient Databank (INDB)
Mango malpua,10488,Others,Desserts,334.64,12.84,1.65,30.67,2.08,52.76,10.64,46.06,20.34,1.89,89.28,0.7,0.1,7.22,0.45,0.43,281.8,1.99,0,1.84,28.17,0.06,0.03,0.38,0.15,0.07,28.17,9.68,Indian Nutrient Databank (INDB)
Oats burfi,10489,Others,Desserts,425.19,62.47,8.89,17.27,4.96,6.41,128.58,276.19,96.12,8.15,314.78,2.46,0.34,7.34,2,1.73,38.26,3.71,0,1.07,29.56,0.47,0.07,0.85,0.44,0.16,29.56,0.09,Indian Nutrient Databank (INDB)
Lotus seed halwa (Kamal gattay ka halwa),10490,Others,Desserts,370.55,39.56,7.79,20.69,0.42,31.54,82.84,304.33,105.76,3.06,658.52,1.8,0.21,0.2,1.14,0.6,169.56,2.04,0,0.41,49.4,0.31,0.08,0.83,0.41,0.3,49.4,0.02,Indian Nutrient Databank (INDB)
Amaranth ladoo (Rajgira ladoo),10491,Others,Desserts,454.15,51.33,10.12,22.7,5.11,10.74,144.58,262.35,231.95,7.51,414.93,6.47,0.56,9.08,3.23,1.88,126.07,3.67,0,1.85,21.69,0.05,0.05,0.64,0.26,0.44,21.69,0.08,Indian Nutrient Databank (INDB)
Chhena poda,10492,Others,Desserts,344.57,33.64,13.68,17.94,1.4,33.34,295.29,264.21,65.71,13,150.27,1.41,0.35,14.34,0.5,2.27,12.42,2.3,0,0.83,57.47,0.07,0.08,0.47,0.45,0.05,57.47,0.13,Indian Nutrient Databank (INDB)
Sweet couscous dessert,10493,Others,Desserts,196.2,29.69,3.81,7.69,2.18,56.63,30.94,83.87,31.24,4.22,183.41,0.84,0.16,1.43,0.47,0.57,42.13,2.24,0,3.26,12.66,0.12,0.04,0.76,0.22,0.12,12.66,14.81,Indian Nutrient Databank (INDB)
Thickened sweetened milk (Rabri),10494,Others,Desserts,102.79,10.55,3.52,5.35,0.19,80.39,111.87,101.92,15,23.92,125.85,0.29,0.08,1.15,0.07,0.42,0,0.55,0,0.18,7.4,0.04,0.1,0.11,0.34,0.05,7.4,1.86,Indian Nutrient Databank (INDB)
Gram flour halwa (Besan halwa),10495,Others,Desserts,276.79,25.78,5.88,17.3,1.82,49.22,77.42,98.95,20.44,15.4,128.25,0.67,0.12,1.56,0.34,0.55,124.14,1.4,0,1.48,34.75,0.1,0.09,0.38,0.42,0.1,34.75,1.12,Indian Nutrient Databank (INDB)
Finger millet biscuit (Ragi biscuit),10496,Others,Snacks,458.56,52.69,4.03,25.79,5.97,11.52,207.04,174.74,78.66,98.24,247.17,2.54,0.37,8.14,1.74,1.41,288.7,0.64,0,3.83,18.41,0.2,0.11,0.71,0.17,0.03,18.41,0,Indian Nutrient Databank (INDB)
Tutti fruitti biscuit,10497,Others,Snacks,420.78,53.12,5.21,17.9,5.43,18.34,23.81,194.29,60.37,93.11,155.27,1.96,0.23,25.41,1.43,1.4,200.06,0.51,0,2.26,13.98,0.2,0.09,1.14,0.43,0.12,13.98,0,Indian Nutrient Databank (INDB)
Peach blueberry preserves,10498,Others,Desserts,177.38,45.76,0.53,0.2,1.14,52.37,9.03,11.29,5.14,2.81,129.46,0.33,0.09,0.27,0.15,0.1,0,0.19,0,1.8,4.32,0.02,0.02,0.18,0.1,0.04,4.32,4.28,Indian Nutrient Databank (INDB)
Pear preserves (Naashpati ka murabba),10499,Others,Desserts,101.24,25.67,0.25,0.19,3.06,70.83,6.57,4.9,5.64,2.1,74.27,0.23,0.08,0.01,0.05,0.07,0,0.2,0,8.58,3.68,0.01,0.01,0.09,0.04,0.06,3.68,2.63,Indian Nutrient Databank (INDB)
Starfruit preserves ,10500,Others,Desserts,128.93,33.62,0.24,0.12,0.78,65.24,5.24,4,4.09,2.06,49.72,0.2,0.06,0.2,0.02,0.1,0,0.11,0,0.55,2.66,0.02,0.01,0.1,0.08,0.02,2.66,10.86,Indian Nutrient Databank (INDB)
Gooseberry pickle (Amla ka achaar),10501,Others,Sides,278.58,7.61,1.55,27.61,3.7,59.53,31.17,47.48,23,86.38,199.18,1.04,0.09,2.82,0.68,0.27,0,0.31,0,4.25,8.96,0.05,0.04,0.39,0.21,0.09,8.96,20.84,Indian Nutrient Databank (INDB)
Lotus stem pickle (Kamal kakdi ka achar),10502,Others,Sides,102.69,20.07,1.44,1.6,8.58,68.31,137.73,44.54,57.68,181.83,1026.99,20.57,0.42,0,0.01,0.01,0,0.06,0,1.09,0.49,0.28,0.41,0.66,0,0.01,0.49,3.14,Indian Nutrient Databank (INDB)
Date pickle (Khajoor ka achaar),10503,Others,Sides,182.29,34.66,1.68,4.21,5.2,54.25,41.49,44.69,39.25,138.86,434.89,1.96,0.19,0.36,0.52,0.46,0,1.83,0,5.15,11.41,0.03,0.04,0.98,0.3,0.14,11.41,2.51,Indian Nutrient Databank (INDB)
Garlic pickle (Lahasun ka achar),10504,Others,Sides,413.62,9.75,3.72,39.88,5.13,41.52,54.66,69.93,33.55,269.12,311.08,1.82,0.14,0.59,0.35,0.62,0,0.09,0,6.62,31.26,0.1,0.13,0.49,0.56,0.32,31.26,14.34,Indian Nutrient Databank (INDB)
Fermented bamboo shoot pickle (Mesu pickle),10505,Others,Sides,59.83,1.73,1.58,5.59,2.24,88.86,16.62,44.03,11.25,161.31,434.41,0.69,0.15,2.37,0.43,0.44,0,0,0,3.39,16.98,0.06,0.08,0.49,0.24,0.17,16.98,14.59,Indian Nutrient Databank (INDB)
Sweet peach pickle (Aadoo ka achaar),10506,Others,Sides,144.64,37.01,0.46,0.2,1.32,61.01,11.99,10.55,5.64,33.04,150.24,0.33,0.08,0.36,0.19,0.09,0,0.01,0,2.52,3.52,0.01,0.01,0.15,0.08,0.05,3.52,3.05,Indian Nutrient Databank (INDB)
Pickled mustard greens ,10507,Others,Sides,13.12,1.05,1.51,0.22,1.7,95.52,81.44,30.73,22.63,242.36,173.98,1.22,0.1,3.43,0.18,0.29,0,0.24,0,81.96,46.87,0.03,0.08,0.25,0.11,0.07,46.87,25.68,Indian Nutrient Databank (INDB)
Small onion pickle ,10508,Others,Sides,16.86,2.76,1.65,0.64,1.09,93.86,31.95,48.74,9.18,249.48,214.9,1.2,0.07,0.97,0.13,0.45,0,0.23,0,3.3,15.06,0.04,0.08,0.83,0.14,0.23,15.06,17.27,Indian Nutrient Databank (INDB)
Green tomato pickle (Haray tamatar ka achaar),10509,Others,Sides,193.26,2.87,1.23,19.67,1.74,74.49,14.22,29.44,16.01,159.18,205.63,0.77,0.07,7.41,0.18,0.21,0,9.62,0,14.65,11.25,0.07,0.05,0.49,0.25,0.07,11.25,12.91,Indian Nutrient Databank (INDB)
Pickled cabbage ,10510,Others,Sides,13.69,2.56,0.39,0.14,0.61,96.3,15.96,9.56,6.13,121.39,58.17,0.19,0.01,0.37,0.12,0.06,0,0.01,0,22.02,9.09,0.01,0.01,0.1,0.05,0.03,9.09,6.41,Indian Nutrient Databank (INDB)
Coconut pickle (Nariyal ka aachar),10511,Others,Sides,517.26,11.53,3.02,51.71,6.35,27.39,44.78,64.6,32.21,176.54,342.27,2.62,0.24,1.75,0.51,0.55,0,1.11,0,17.17,19.85,0.06,0.09,0.78,0.2,0.19,19.85,6.1,Indian Nutrient Databank (INDB)
Potato pickle (Aloo ka achaar),10512,Others,Sides,369.14,7.87,2.07,36.46,2.21,51.39,48.46,59.24,34.8,213.73,311.23,1.12,0.14,0.53,0.22,0.44,0,16.22,0,9.55,17.39,0.08,0.03,0.72,0.32,0.13,17.39,21.62,Indian Nutrient Databank (INDB)
Mango murabba candy,10513,Others,Desserts,293.35,77.32,0.27,0.05,0.95,21.41,16.55,6.36,7.64,13.71,56.54,0.33,0.11,0.04,0.3,0.11,0,0.27,0,4.2,7.5,0.01,0.01,0.08,0.04,0.04,7.5,26.12,Indian Nutrient Databank (INDB)
Hariyali Fish Tikka,10514,Others,Sides,150.24,2.21,14.01,9.41,0.99,73.38,34.86,162.56,33.88,100.45,257.74,0.83,0.08,20.92,0.17,0.5,74.09,1.26,0.43,15.01,15,0.05,0.04,1.09,0.86,0.13,15,6.22,Indian Nutrient Databank (INDB)
Chicken manchurian,10515,Others,Sides,142.34,6.06,9.53,11.96,0.41,72.04,26.52,96.13,16.57,2414.77,179.84,1.28,0.11,7.51,0.11,0.53,13.09,3.54,0.44,1.01,10.34,0.04,0.04,2.42,0.46,0.18,10.34,2.33,Indian Nutrient Databank (INDB)
Handi chicken,10516,Others,Curries (Gravy & Dry),166.02,1.49,12.32,12.46,0.67,73.06,26.85,111,18.15,75.64,214.67,0.93,0.17,10.23,0.23,0.54,5.11,0.18,0.74,1.74,8.82,0.06,0.05,4.42,0.67,0.3,8.82,0.64,Indian Nutrient Databank (INDB)
Lemon chicken,10517,Others,Curries (Gravy & Dry),169.79,0.55,20.2,9.66,0.16,69.43,17.4,165.74,19.91,79.93,282.83,0.95,0.25,17.16,0.04,0.74,21.47,0.3,1.27,0.4,10.89,0.1,0.06,7.45,1.07,0.49,10.89,3.12,Indian Nutrient Databank (INDB)
Lemon butter fish,10518,Others,Curries (Gravy & Dry),160.25,0.75,16.38,10.26,0.36,72.25,18.66,183.74,29.57,187.72,240.34,0.4,0.05,25.1,0.04,0.5,74.26,1.26,0.52,2.37,9.55,0.05,0.03,1.21,0.97,0.13,9.55,4.35,Indian Nutrient Databank (INDB)
Spinach mushroom scrambled egg (Palak mushroom bhurji),10519,Others,Sides,158.85,0.59,13.28,11.51,0.39,74.23,140.31,205.75,19.41,227.97,180.76,1.6,0.07,31.19,0.11,1.35,188.91,1.24,0.67,22.35,46.58,0.06,0.19,0.17,1.17,0.14,46.58,1.95,Indian Nutrient Databank (INDB)
Corn omelette/omlet,10520,Others,Sides,166.93,1.57,11.37,12.89,0.02,74.15,96.22,180.05,17.36,166.42,145.92,1.34,0.06,26.54,0.06,1.22,201.49,1.16,0.54,0.84,42.04,0.07,0.17,0.43,1.13,0.12,42.04,1.49,Indian Nutrient Databank (INDB)
Cajun chicken,10521,Others,Sides,184.94,1.94,12.69,13.99,0.89,70.49,156.98,168.97,18.93,1740.13,181.55,0.53,0.13,7.4,0.1,1.17,74,0.44,0.45,10.07,26.6,0.06,0.1,2.85,0.57,0.26,26.6,27.13,Indian Nutrient Databank (INDB)
Paaner do pyaza,10522,Others,Curries (Gravy & Dry),127.7,3.41,4.22,10.87,0.84,80.66,57.22,82.36,17.05,160.66,135.24,0.45,0.07,1.81,0.17,0.43,49.84,2.68,0,4.14,15.37,0.04,0.1,0.27,0.2,0.06,15.37,7.25,Indian Nutrient Databank (INDB)
Cabbage manchurian (Pattagobhi manchurian),10523,Others,Sides,224.26,4.85,0.64,22.48,0.37,71.66,3.18,8.86,3.5,75.02,34.44,0.2,0.02,0.05,0.07,0.07,0.47,11.03,0,2.62,4.08,0.01,0.01,0.1,0.07,0.02,4.08,3.83,Indian Nutrient Databank (INDB)
Gobi 65,10524,Others,Sides,278.29,3.59,0.56,29.11,0.57,66.17,12.37,13.11,5.75,69.22,56.39,0.3,0.02,0.21,0.11,0.08,0.73,14.25,0,7.5,4.39,0.01,0.02,0.12,0.06,0.02,4.39,3.21,Indian Nutrient Databank (INDB)
Paneer lababdar,10525,Others,Curries (Gravy & Dry),105.48,3.37,3.98,8.46,1.16,83.03,55.56,77.52,19.63,142.45,145.5,0.56,0.08,1.69,0.19,0.42,20.93,2.76,0,11.57,14.81,0.05,0.09,0.27,0.21,0.06,14.81,7.19,Indian Nutrient Databank (INDB)
Roasted cauliflower steak,10526,Others,Sides,78.68,2.02,2.05,6.7,3.53,85.7,24.47,44.67,22.2,120.19,311.66,0.95,0.05,0.47,0.23,0.29,0,0.34,0,17.36,42.84,0.04,0.07,0.29,0.58,0.12,42.84,43.9,Indian Nutrient Databank (INDB)
Sauteed radishes with green beans,10527,Others,Sides,94.32,6.04,2.41,6.61,3.52,81.42,40.2,82.05,45.13,65.1,323.33,1.01,0.14,0.8,0.77,0.59,33.47,0.41,0,13.13,47.51,0.06,0.04,0.8,0.24,0.29,47.51,6.79,Indian Nutrient Databank (INDB)
Garlic chutney/Poondu chutney (Lahasun ki chutney),10528,Others,Sides,255.51,20.44,3.34,17.55,5.15,53.52,63.51,90.72,50.97,177.62,541.63,3.26,0.24,3.85,0.39,0.58,0,8.36,0,34.42,21.19,0.16,0.15,1.43,0.24,0.2,21.19,7.18,Indian Nutrient Databank (INDB)
Schezwan chutney,10529,Others,Sides,205.19,10.79,3.33,17.72,5.72,62.44,35.46,66.21,35.17,486.27,412.31,1.96,0.16,1.42,0.53,0.6,2.06,8.02,0,28.5,21.01,0.09,0.16,1.47,0.4,0.33,21.01,3.48,Indian Nutrient Databank (INDB)
Onion chutney (Pyaaz ki chutney/Vengaya chutney),10530,Others,Sides,143.94,13.52,2.97,8.38,4.6,70.53,28.5,60.17,37.83,256.89,342.69,1.19,0.18,3.1,0.41,0.53,0,3.87,0,21.86,32.46,0.08,0.07,0.8,0.37,0.13,32.46,5.39,Indian Nutrient Databank (INDB)
Dates chutney (Khajoor ki chutney),10531,Others,Sides,103.57,21.69,1.07,1.12,3.41,72.71,28.72,29.43,29.16,76.77,288.06,1.19,0.13,0.66,0.29,0.26,0,0.41,0,8.14,6.54,0.02,0.03,0.58,0.16,0.05,6.54,1.29,Indian Nutrient Databank (INDB)
Cabbage raita (Pattagobhi raita),10532,Others,Sides,84.84,5.25,3.24,5.76,0.93,84.82,118.49,93.87,15.55,125.31,210.13,0.19,0.02,1.91,0.07,0.39,35.11,0.14,0,36.97,23.15,0.04,0.15,0.18,0.28,0.09,23.15,12.19,Indian Nutrient Databank (INDB)
Pomegranate raita (Anaar ka raita),10533,Others,Sides,72.64,7.15,4.05,3.24,0.6,84.96,138.31,118.15,14.73,195.18,208.12,0.25,0.04,1.33,0.04,0.48,11.89,0.12,0,3.41,16.54,0.05,0.17,0.19,0.42,0.11,16.54,3.19,Indian Nutrient Databank (INDB)
Onion raita (Pyaaz ka raita),10534,Others,Sides,71.56,7.86,4.86,2.43,0.65,84.2,163.8,141.31,20.55,189.96,269.88,0.3,0.03,1.63,0.07,0.63,21.92,0.07,0,7.46,20.53,0.06,0.22,0.26,0.46,0.11,20.53,5.39,Indian Nutrient Databank (INDB)
Green chilli raita (Hari mirch ka raita),10535,Others,Sides,77.13,7.66,5.58,2.92,0.26,83.58,193.58,165.25,20.12,161.31,286.94,0.21,0.01,1.92,0.02,0.69,26.77,0.06,0,2.97,18.36,0.06,0.26,0.25,0.49,0.11,18.36,4.19,Indian Nutrient Databank (INDB)
Kale salad,10536,Others,Sides,177.71,5.01,4.86,15.33,1.36,73.44,109.11,97.06,32.2,292.04,336.77,1.3,0.1,2.3,0.48,0.48,19.22,3.91,0,307.01,65.96,0.12,0.07,0.62,0.14,0.21,65.96,56.82,Indian Nutrient Databank (INDB)
Tamarind chutney (Chintapandu pachadi/Puli chutney),10537,Others,Sides,109.15,25.07,0.88,0.48,1.65,71.92,40.3,30.36,32.91,75.61,235.6,1.95,0.1,0.27,0.29,0.22,2.55,0.04,0,1.21,4.9,0.04,0.02,0.36,0.1,0.13,4.9,0.81,Indian Nutrient Databank (INDB)
Pav bhaji masala,10538,Others,Sides,230.47,29.15,9.13,10.96,24.3,26.46,588.91,237.57,269.44,1814.66,1258.15,12.84,0.93,4.6,9,2.6,0,0.89,0,76.29,18.84,0.25,0.16,2.75,0.22,0.18,18.84,5.49,Indian Nutrient Databank (INDB)
Green chutney,10539,Others,Sides,79.42,10.01,5.42,1.6,5.84,77.13,112.74,91.29,73.93,262.81,508.96,4.58,0.29,8.4,1.01,0.97,0,0.34,0,123.51,63.65,0.11,0.09,0.79,0.54,0.18,63.65,30.13,Indian Nutrient Databank (INDB)
Sago khitchdi/khichri (Sabudana khitchdi/khichri),10540,Others,Mains,187.16,22.41,2.72,10.1,1.82,62.95,15.13,55.28,27.71,100.26,189.28,0.86,0.13,1.11,0.25,0.39,45.87,0.85,0,5.38,12.6,0.07,0.02,1.24,0.17,0.05,12.6,4.94,Indian Nutrient Databank (INDB)
Gram flour chilla/cheela (Besan chilla/cheela),10541,Others,Snacks,135.93,21.03,7.8,2.85,4.25,64.07,28.38,80.2,27.71,135.57,168.7,2.19,0.12,1.35,1.17,0.65,0,1.33,0,9.08,66.61,0.15,0.06,0.82,0.48,0.19,66.61,3.32,Indian Nutrient Databank (INDB)
Vegetable namkeen jave,10542,Others,Mains,112.23,18.98,2.93,2.51,2.86,72.72,10.32,32.77,14.39,32.13,91.36,1.07,0.07,3.57,0.47,0.32,12.78,0.56,0,4.49,7.19,0.04,0.01,0.32,0.18,0.03,7.19,3.41,Indian Nutrient Databank (INDB)
Khakhra,10543,Others,Snacks,178.5,27.66,4.78,5.32,5.43,56.81,21.27,140.34,57.11,184.16,166.32,2.14,0.22,22.84,1.33,1.29,0,2.32,0,7.64,13.87,0.19,0.08,1.18,0.39,0.14,13.87,0.73,Indian Nutrient Databank (INDB)
Moong bean dosa (Pesarattu),10544,Others,Mains,285.96,31.91,12.32,11.67,6.04,38.06,36.44,218.16,86.95,61.36,704.21,3.38,0.52,23.77,1.31,1.47,66.96,2.35,0,7.3,53.91,0.19,0.07,1.23,0.94,0.17,53.91,5.59,Indian Nutrient Databank (INDB)
Methi thepla,10545,Others,Mains,346.16,41.34,8.98,15.95,7.56,26.17,73.51,210.89,83.17,543.27,298.37,4.52,0.3,22.39,2.25,1.8,4.71,7.03,0,24.75,41.88,0.25,0.16,1.46,0.61,0.25,41.88,2.92,Indian Nutrient Databank (INDB)
Rice puttu (Ari puttu),10546,Others,Mains,81.98,11.82,1.26,3.13,0.76,83.03,4.96,28.23,8,48.28,69.57,0.42,0.07,1.2,0.08,0.07,0,0.29,0,0.14,1.16,0.02,0.01,0.33,0.01,0.04,1.16,0,Indian Nutrient Databank (INDB)
Quinoa khichdi/khichri,10547,Others,Mains,64.01,8.83,3.18,1.59,2.58,83.82,24.59,52.58,25.3,69.64,174.76,1.12,0.13,4.1,0.3,0.52,9.78,0.27,0,5.69,25.95,0.1,0.03,0.39,0.24,0.07,25.95,2.87,Indian Nutrient Databank (INDB)
Khakhra chaat,10548,Others,Snacks,358.66,16.64,4.52,30.65,3.04,45.15,24.49,64.39,27.23,102.78,173.44,1.26,0.12,4.18,0.53,0.51,0.22,14.97,0,12.81,37.46,0.11,0.04,0.63,0.33,0.13,37.46,5.59,Indian Nutrient Databank (INDB)
Banana appam,10549,Others,Snacks,469.81,20.06,1.17,42.53,0.67,35.57,13.74,27.05,19.47,20.14,142.99,0.77,0.07,0.44,0.18,0.09,0,20.46,0,3.04,4.75,0.02,0.01,0.31,0.08,0.17,4.75,1.39,Indian Nutrient Databank (INDB)
Veg manchurian,10550,Others,Sides,585.64,6.82,0.89,61.65,1.16,29.48,16.79,16.34,7.53,65.31,83.3,0.31,0.03,0.33,0.1,0.12,0,30.33,0,22.8,13.61,0.02,0.02,0.15,0.1,0.05,13.61,7.75,Indian Nutrient Databank (INDB)
Pav bhaji,10551,Others,Mains,96.53,11.99,2.66,4.32,1.98,79.05,24.86,19.19,12.69,163.89,139.3,0.97,0.05,0.27,0.2,0.18,40.06,0.15,0,11.63,29.34,0.21,0.07,1.14,0.16,0.06,29.34,13.16,Indian Nutrient Databank (INDB)
Rice murukku,10552,Others,Snacks,593.99,33.29,5.41,48.22,2.18,10.9,24.63,98.69,29.19,63.31,224.26,1.7,0.21,7.09,0.26,0.58,23.95,21.98,0,3.31,26.57,0.09,0.04,1.04,0.25,0.1,26.57,0,Indian Nutrient Databank (INDB)
Bhel puri ,10553,Others,Snacks,509.89,16.47,3.52,47.91,2.24,29.86,24.22,47.03,22.42,93.98,150.56,1.29,0.1,0.72,0.36,0.38,0,23.33,0,7.79,22.4,0.07,0.03,0.56,0.23,0.09,22.4,4.51,Indian Nutrient Databank (INDB)
Semolina dhokla (Suji/Rava dhokla),10554,Others,Snacks,194.91,30.86,5.44,5.2,5.12,53.38,31.17,67.37,28.69,443.39,194.28,2.52,0.25,5.53,1.39,1.09,0,1.62,0,12.38,15.23,0.14,0.03,0.66,0.38,0.08,15.23,3.65,Indian Nutrient Databank (INDB)
Spicy corn chaat ,10555,Others,Snacks,479.8,11.45,4.61,46.55,2.17,35.22,17.28,58.68,21.18,86.5,124.8,0.84,0.07,0.72,0.35,0.38,17.5,22.02,0,5.47,41.03,0.11,0.04,0.75,0.36,0.09,41.03,2.54,Indian Nutrient Databank (INDB)
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),10556,Others,Snacks,597.79,24,2.34,54.41,1.5,17.75,24.62,47.74,30.82,46.39,176.51,1.15,0.15,1.36,0.29,0.27,0,25.47,0,9.9,9.23,0.04,0.01,0.42,0.1,0.15,9.23,1.18,Indian Nutrient Databank (INDB)
Banana chips (Kele ke chips),10557,Others,Snacks,665.67,7.32,0.37,70.46,0.65,21.2,2.01,6.12,9.04,86.87,106.43,0.19,0.04,0,0.11,0.04,0,34.69,0,5.08,5.26,0,0.01,0.14,0.1,0.15,5.26,2.37,Indian Nutrient Databank (INDB)
Ham and Bean soup,10558,Others,Soups,96.04,4.18,10.61,4.15,0.54,80.52,20.52,207.48,22.97,378.14,309.3,0.88,0.11,5.22,0.13,1.2,0,0.32,0,7.52,68.78,0.38,0.1,4.15,2.36,0.31,68.78,14.79,Indian Nutrient Databank (INDB)
Whey soup,10559,Others,Soups,68.91,6.26,3.45,3.34,0.84,86.11,164.92,116.09,19.08,87.08,158.89,0.55,0.07,4.78,0.08,0.81,1.65,0.47,0,1.25,15.09,0.04,0.13,0.12,0.39,0.04,15.09,1.14,Indian Nutrient Databank (INDB)
Bottle gourd soup (Ghiya/Lauki soup),10560,Others,Soups,23.05,1.16,0.45,1.79,0.96,95.64,15.14,14.68,5.92,53.81,61.68,0.26,0.03,0.76,0.08,0.1,2.29,0.09,0,2.02,17.87,0.01,0.01,0.08,0.24,0.01,17.87,2.03,Indian Nutrient Databank (INDB)
Baked potato soup,10561,Others,Soups,147.05,5.85,5.73,11.21,0.3,76.91,106.56,128.17,12.65,268.69,184.87,0.27,0.04,2.36,0.04,0.58,64.97,0.27,0,1,8.15,0.13,0.11,1.03,0.42,0.11,8.15,3.62,Indian Nutrient Databank (INDB)
Pumpkin soup,10562,Others,Soups,40.05,2.08,0.47,3.2,1.19,93.06,12.17,11.85,5.38,45.5,115.19,0.19,0.03,0.18,0.05,0.06,4.57,0.41,0,37,11.22,0.01,0.02,0.19,0.09,0.04,11.22,3.61,Indian Nutrient Databank (INDB)
Sweet corn soup,10563,Others,Soups,32.25,3.56,0.99,1.63,0.31,93.51,3.72,26.14,11.22,22.35,86.92,0.41,0.02,0.01,0.17,0.14,0,0.66,0,1.07,12.78,0.04,0.02,0.52,0.21,0.03,12.78,2.63,Indian Nutrient Databank (INDB)
